Group, Name, Version
kauth5,kauth5,5.115.0-1
kbackup,kbackup,23.08.4-1
kbd,kbd,2.6.4-1
kblackbox,kblackbox,23.08.4-1
kblocks,kblocks,23.08.4-1
kbookmarks,kbookmarks,6.4.0-1
kbookmarks5,kbookmarks5,5.115.0-1
kbounce,kbounce,23.08.4-1
kbreakout,kbreakout,23.08.4-1
kbruch,kbruch,23.08.4-1
kcachegrind,kcachegrind,23.08.4-1
kcachegrind,kcachegrind-common,23.08.4-1
kcalc,kcalc,23.08.4-1
kcalendarcore,kcalendarcore,6.4.0-2
kcalendarcore5,kcalendarcore5,5.115.0-1
kcalutils,kcalutils,23.08.4-1
kcharselect,kcharselect,23.08.4-1
kclock,kclock,23.08.4-1
kcmutils,kcmutils,6.4.0-1
kcmutils5,kcmutils5,5.115.0-1
kcodecs,kcodecs,6.4.0-1
kcodecs5,kcodecs5,5.115.0-1
kcolorchooser,kcolorchooser,23.08.4-1
kcolorpicker,kcolorpicker-qt5,0.3.0-3
kcolorscheme,kcolorscheme,6.4.0-1
kcompletion,kcompletion,6.4.0-1
kcompletion5,kcompletion5,5.115.0-1
kconfig,kconfig,6.4.0-1
kconfig5,kconfig5,5.115.0-1
kconfigwidgets,kconfigwidgets,6.4.0-1
kconfigwidgets5,kconfigwidgets5,5.115.0-1
kcontacts,kcontacts,1:6.4.0-1
kcontacts5,kcontacts5,5.115.0-1
kcoreaddons,kcoreaddons,6.4.0-1
kcoreaddons5,kcoreaddons5,5.115.0-1
kcrash,kcrash,6.4.0-1
kcrash5,kcrash5,5.115.0-1
kcron,kcron,23.08.4-1
kdav,kdav,1:6.4.0-1
kdav5,kdav5,1:5.115.0-1
kdbusaddons,kdbusaddons,6.4.0-1
kdbusaddons5,kdbusaddons5,5.115.0-1
kde,kde-accessibility-meta,23.08-1
kde,kde-cli-tools,5.27.10-1
kde,kde-dev-scripts,23.08.4-1
kde,kde-dev-utils,23.08.4-1
kde,kde-education-meta,23.08-1
kde,kde-games-meta,23.08-1
kde,kde-graphics-meta,23.08-1
kde,kde-gtk-config,5.27.10-1
kde,kde-inotify-survey,23.08.4-1
kde,kde-network-meta,23.08-1
kde,kde-office-meta,23.08-1
kde,kde-pim-meta,23.08-1
kde,kde-sdk-meta,23.08-1
kde,kde-system-meta,23.08-1
kdebugsettings,kdebugsettings,23.08.4-1
kdeclarative,kdeclarative,6.4.0-1
kdeclarative5,kdeclarative5,5.115.0-1
kdeconnect,kdeconnect,23.08.4-2
kdecoration,kdecoration,5.27.10-1
kded,kded,6.4.0-1
kded5,kded5,5.115.0-1
kdeedu,kdeedu-data,23.08.4-1
kdegraphics,kdegraphics-mobipocket,23.08.4-1
kdegraphics,kdegraphics-thumbnailers,23.08.4-1
kdelibs4support,kdelibs4support,5.115.0-1
kdenetwork,kdenetwork-filesharing,23.08.4-1
kdepim,kdepim-addons,23.08.4-1
kdepim,kdepim-runtime,23.08.4-1
kdeplasma,kdeplasma-addons,5.27.10-2
kdesdk,kdesdk-kio,23.08.4-1
kdesdk,kdesdk-thumbnailers,23.08.4-1
kdesu,kdesu,6.4.0-1
kdesu5,kdesu5,5.115.0-1
kdevelop,kdevelop,23.08.4-1
kdevelop,kdevelop-meta,23.08-1
kdevelop,kdevelop-php,23.08.4-1
kdevelop,kdevelop-python,23.08.4-1
kdf,kdf,23.08.4-1
kdiagram,kdiagram,3.0.1-3
